="PPN";"Titre";"Editions";="Issn";"Acces en ligne";"Supplement(s) : ";"Est le supplement de : ";"Publie avec : ";"Suite de : ";"Succede apres scission a : ";"Remplace : ";"Remplace partiellement : ";"Absorbe : ";"Absorbe partiellement : ";"Fusion de : ";"Suite partielle de : ";"Devient : ";"Devient partiellement : ";"Remplace par : ";"Remplace partiellement par : ";"Absorbe par : ";"Absorbe partiellement par : ";"ScindeEn";"Fusionne avec";"Redevient : ";"Autre edition sur le meme support : ";"Autre edition sur un autre support : ";"Traduit sous le titre : ";"Traduit de : ";"Reproduction de : ";"Reproduit comme : ";"Titre cle : ";"Titre(s) abrege(s) : ";"Titre parallele : ";"Titre de couv. : ";"PublieEn";"Periodicite";="Dewey : ";"Source(s) de catalogage : ";"Etat de collection";"Lacunes";"Cote";"PCP";"Note sur l exemplaire"
="036183156";"Artforum";"[New York, etc.] : [Artforum, etc.], 1962-1982";="0004-3532";"";"";"";"";"";"";"";"";"";"";"";"";"Artforum international, 1086-7058";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Artforum";"Artforum";"";"";"1962- 1982, publie en anglais, aux Etats-Unis";"Mensuel";="705 * 709";"Abes * ISSN";"(jun-1972) - (avr-1982) [Lacunes]";"";"";"";""
="040358216";"Artforum international";"New York, N.Y : Artforum International Magazine, 1982-New York : Artforum International Magazine, 1982-";="1086-7058";"";"Bookforum - Artforum, 1098-3376. ";"";"";"Artforum, 0004-3532";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Artforum international";"";"";"";"";"Artforum international";"Artforum int.";"";"";"1982- 9999, publie en anglais, aux Etats-Unis";"Mensuel";="705 * 709";"Abes * ISSN";"(sep-1982)-.... [Lacunes 10%]";"";"";"";""
="038669625";"Art in America";"Westport, Conn : F.F. Sherman, 1939-New York, NY : Art Media AIA, LLC";="0004-3214";"";"Art in America. Annual guide to galleries, museums, artists, 0736-7619. ARTnews. Top 200 collectors. ";"";"";"Art in America and elsewhere, 2769-8114";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art in America. Annual guide to galleries, museums, artists, 0736-7619. ";"Art in America (1939. Online)";"";"";"";"";"Art in America(1939)";"Art Am.(1939)";"";"";"1939- 9999, publie en anglais, aux Etats-Unis";"Trimestriel";="705 * 720";"Abes * ISSN";"no. 4 (1978) - no. 5  (1978) ; no. 6 (1982) - no. 10  (1982) ; (1983) - (1995) ; (1996)-.... [Lacunes: 20% (1983-1995)]";"";"";"";""
="058186883";"Art meme : lettre des arts plastiques de la communaute francaise de Belgique";"Bruxelles : Ministere de la Communaute francaise, 1998-";="1373-9549";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"L'Art meme";"Art meme";"";"";"1998- 9999, publie en francais, en Belgique";"Trimestriel";="700 * 709.04";"Abes * ISSN";"no. 4 (1999) ; no. 6 (2000) - no. 8  (2000) ; no. 15 (2002) ; no. 18 (2003) - no. 24  (2004)";"";"";"";""
="039080676";"Art monthly";"London : Britannia Art Publications Ltd, 1976-";="0142-6702";"";"";"";"Art monthly. Index, 1369-8052. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art monthly (Online), 2059-5255";"";"";"";"";"Art monthly";"Art mon.";"";"";"1976- 9999, publie en anglais, au Royaume-Uni";"Mensuel";="700";"Abes * ISSN";"no. 52 (1982) - no. 54  (1982) ; no. 97 (1986) ; no. 103 (1987) - no. 104  (1987) ; no. 134 (1990) - no. 135  (1990) ; no. 198 (1996) - no. 200  (1996) ; no. 203 (1997) - no. 222  (1998) ; no. 226 (1999) - no. 261  (2002) ; no. 263 (2003)-....";"";"";"";""
="038669676";"ARTnews";"New York, N.Y : ARTnews Associates, 1923-[2021]New York, N.Y : Art Media, LLC";="0004-3273";"";"";"";"ARTnews annual, 0066-7994. ";"American art news, 1944-0227";"";"";"";"Magazine of art (Washington, D.C.), 2690-456X";"";"";"";"";"";"";"";"";"";"";"";"";"";"ARTnews (Online), 2327-1221";"";"";"";"";"ARTnews(New York, N.Y. 1923)";"ARTnews";"";"";"1923- 2022, publie en anglais, aux Etats-Unis";"Bimestriel";="705 * 709";"Abes * ISSN";"no. 8 (1980) ; no. 4 (1996) ; no. 7 (1996) ; no. 1 (1997) - no. 10  (1998) ; no. 7 (1999) - no. 11  (1999) ; no. 1 (2000) - no. 9  (2000) ; no. 1 (2001) - no. 11  (2002) ; no. 1 (2003) - no. 4  (2003) ; no. 9 (2003)-....";"";"";"";""
="039929809";"Art presence";"Pleneuf-Val-Andre : Ed. ALPA, 1991-2011";="1156-7627";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art presence(Pleneuf-Val-Andre)";"";"";"";"1991- 2011, publie en francais, en France";"Bimestriel";="700 * 709.04 * 709.44";"Abes * ISSN";"no. 4 (1976) ; no. 6 (1993) - no. 7  (1993) ; no. 13 (1995) - no. 16  (1995) ; no. 17 (1996) - no. 24  (1997) ; no. 26 (1998)-....";"";"";"";""
="039388077";"Art press";"Paris : Art press, 1980-Paris : Artpress";="0245-5676";"";"Art press 2, 1951-0578. Le Narrate liberateur, 0242-0198. Art press plus, 1620-7769. ";"";"";"Art press international, 0397-4960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art press (En ligne), 2777-2306";"";"";"";"";"Art press(1980)";"Art press(1980)";"";"";"1980- 9999, publie en francais, en France";"Mensuel";="709 * 705";"Abes * FR-751131015 * ISSN France";"no. 34 (1980) - no. 152  (1990) ; no. 154 (1991)-.... [Lacunes]";"(1980-1990) ";"";"";""
="037965387";"Art press / Catherine Millet";"Paris : Art press, 1972-1976";="0397-4952";"";"";"";"";"";"";"";"";"";"";"";"";"Art press international, 0397-4960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art press(1972)";"Art press(1972)";"";"";"1972- 1976, publie en francais, en France";"Bimestriel";="700 * 709 * 705";"Abes * FR-751131015 * ISSN France";"no. 1 (1973) - no. 3  (1973) ; no. 6 (1973) - no. 7  (1973) ; no. 21 (1975) - no. 22  (1976)";"";"";"";""
="039826309";"Art press. Hors-serie";"Paris : Art press, 1982-2005";="0985-1267";"";"";"";"Art press (1980), 0245-5676. Art press plus, 1620-7769. ";"";"";"";"";"";"";"";"";"Art press 2, 1951-0578";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art press. Hors serie(1980)";"Art press, Hors serie(1980)";"";"";"1982- 2005, publie en francais, en France";"Annuel";="700 * 709 * 705";"Abes * ISSN";"no. 1 (1982) ; no. 8 (1987) ; no. 11 (1990) ; no. 13 (1992) ; no. 15 (1994) - no. 19  (1998) ; (nov-1999) ; (oct-2000) ; no. 21 (2000) ; (mai-2001) ; (avr-2002) ; no. 23 (2002) ; (jun-2003)-....";"";"";"";""
="037965395";"Art press international / Catherine Millet";"Paris : Europrom, 1976-1979";="0397-4960";"";"Le Narrate liberateur, 0242-0198. ";"";"";"Art press (1972), 0397-4952";"";"";"";"";"";"";"";"Art press (1980), 0245-5676";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art press international";"Art press int.";"";"";"1976- 1979, publie en francais, en France";"Bimestriel";="700 * 709 * 705";"Abes * FR-751131015 * ISSN France";"no. 2 (1976) ; no. 4 (1977) ; no. 6 (1977) ; no. 14 (1978) ; no. 19 (1978) ; no. 25 (1979) ; no. 29 (1979)";"";"";"";""
="037426842";"Atlantica internacional";"Las Palmas de Gran Canaria : C.A.A.M, 1992-";="1132-8428";"";"";"";"";"Atlantica (Las Palmas de Gran Canaria. 1990), 1130-7587";"";"";"";"";"";"";"";"Atlantica (Las Palmas de Gran Canaria. 2000), 1889-7207";"";"";"";"";"";"";"";"";"";"Atlantica (Las Palmas de Gran Canaria. Internet), 2792-3827";"";"";"";"";"Atlantica internacional";"Atl. int.";"";"";"1992- 2000, publie en plusieurs langues, en Espagne";"Sans periodicite";="705 * 709";" * ISSN";"no. 5 (1993) ; no. 13 (1996) - no. 17  (1997) ; no. 22 (1999) ; no. 25 (2000)-....";"";"";"";""
="088809005";"BE";"Berlin : Kunstlerhaus Bethanien., 1994-";="0946-3585";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BE(Berlin)";"BE(Berl.)";"";"";"1994- 9999, publie en plusieurs langues, en Allemagne";"Semestriel";="700 * 709.04";"Abes * ISSN";"no. 9 (2003) - no. 11  (2004)";"";"";"";""
="039936147";"Beaux-arts. Hors serie";"Levallois-Perret : Nuit et jour, 1984-Paris : TTM. editions";="1158-3207";"";"Bigo.. Musee de la musique.. ";"Beaux-arts magazine (Levallois-Perret), 0757-2271. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Beaux arts. Numero especial, 1167-3249. Beaux arts. Sondernummer, 1167-3230. Beaux-arts. Special issue, 1169-1131. Beaux-arts. Numero speciale, 1163-0698. ";"";"";"";"";"";"Beaux-arts. Hors serie";"Beaux-arts. Hors serie";"";"";"1984- 9999, publie en francais, en France";"Inconnue";="705 * 700";"FR-751131015 * ISSN France";"(1984) ; (1986) ; (1989) ; (1991) ; (1997) ; (1999)-....";"";"";"";""
="039674797";"Beaux-arts magazine";"Levallois-Perret : Nuit et Jour, 1983-Levallois-Perret : Beaux-arts magazine, 2014-";="0757-2271";"";"Beaux-arts magazine. Hors-serie (Han-gug-pan), 1777-3598. Beaux-arts magazine. Hors-serie (Deutsche Ausg), 1777-358X. Beaux-arts magazine. Hors-serie (English ed), 1777-3571. Beaux-arts magazine. Hors-serie (Ed. brasileira), 1766-6031. Beaux-arts. Hors serie, 1158-3207. Beaux-arts. Special issue, 1169-1131. Beaux arts. Numero especial, 1167-3249. Beaux arts. Sondernummer, 1167-3230. Beaux-arts. Numero speciale, 1163-0698. ";"";"Le Figaro beaux-arts magazine, 1963-2843. Beaux arts magazine-livres, 1764-8556. L'Objet d'art (Levallois-Perret), 0988-8519. I Grandi musei (Levallois-Perret), 1160-0713. Les Grands musees (Levallois-Perret), 1160-0705. Collection Beaux arts (Paris), 1160-0772. Collection Les Grandes expositions (Levallois-Perret), 1160-0764. Die Grossen Museen (Levallois-Perret), 1160-0756. Los Grandes museos (Levallois-Perret), 1160-0748. The Great museums (Levallois-Perret), 1160-073X. Collection 1 monument 1 architecte (English ed), 1285-5669. Collection 1 monument 1 architecte (Ed. francaise), 1285-5650. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Beaux-arts magazine(Levallois-Perret)";"Beaux-arts mag.(Levallois-Perret)";"";"";"1983- 9999, publie en francais, en France";"Mensuel";="705";"Abes * ISSN";"no. 1 (1983) - no. 235  (2003) ; no. 238 (2004)-....";"";"";"PCMP";""
="060119365";"BIBLIOtheque(s) : revue de l'Association des bibliothecaires francais";"Paris : Association des bibliothecaires francais, 2002-Paris : Association des bibliothecaires de France, 2006-";="1632-9201";"";"Le Journal - Association des bibliothecaires francais,  Groupe Centre, 1761-9718. ";"";"";"Bulletin d'informations (Association des bibliothecaires francais), 0004-5365";"";"";"";"";"";"";"";"";"";"Bibliotheque(s) (En ligne), 2270-4620";"";"";"";"";"";"";"";"Bibliotheque(s) (En ligne), 2270-4620";"";"";"";"";"Bibliotheques(Paris. 2002)";"Bibliotheques(Paris, 2002)";"";"";"2002- 9999, publie en francais, en France";"Bimestriel";="020 * 027.044";"FR-751131015 * ISSN France";"no. 2 (2002)-....";"";"";"";""
="094447047";"Big";"New York, N.Y : Big Magazine, Inc, 1991-";="1553-0116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Big(Madrid, Spain)";"Big(Madr. Spain)";"";"";"1991- 9999, publie en anglais, aux Etats-Unis";"Bimestriel";="391.05 * 705 * 770.13";"Abes * ISSN";"no. 24 (1998) - no. 27  (1999) ; no. 29 (2000)";"";"";"";""
="040096130";"Blocnotes : art contemporain / Daily Museum";"Paris : Daily Museum, 1992-1999";="1243-700X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Blocnotes - Daily Museum";"Blocnotes - Daily mus.";"";"";"1992- 1999, publie en francais, en France";"Trois fois par an";="709.04 * 730";"FR-751131015 * ISSN France";"no. 1 (1992) ; no. 3 (1993) - no. 9  (1995) ; no. 11 (1996) - no. 17  (1999)";"";"";"";""
="039220680";"Bulletin des bibliotheques de France / [publie par la Direction des bibliotheques de France (Ministere de l'Education nationale)]";"Paris : Direction des bibliotheques de France, 1956-2019Villeurbanne : Ecole nationale superieure des bibliotheques, 1963-1991Villeurbanne : Ecole nationale superieure des sciences de l'information et des bibliotheques, 1992-2019";="0006-2006";"";"";"";"";"";"";"";"";"";"";"Bulletin de documentation bibliographique - Bibliotheque nationale, 1149-350X. Bulletin d'informations de la Direction des bibliotheques de France, 1153-8686. ";"";"";"";"";"";"";"";"";"";"";"";"Bulletin des bibliotheques de France (En ligne), 1292-8399";"";"";"";"";"Bulletin des bibliotheques de France(Imprime)";"Bull. bibl. Fr.(Impr.)";"";"";"1956- 1959, publie en francais, en France";"Bimestriel";="020";"FR-751131015 * ISSN France";"no. 1 (1998) - no. 5  (2004)";"";"";"";""
="037943561";"CA : Connaissance des arts";"Paris : Societe d'etudes et de publications economiques, 1972-1976";="0395-5893";"";"";"";"Connaissance des arts. Numero special sur les ventes publiques a Paris ..., 2021-9245. Le Prix de l'art, 2021-9253. ";"Connaissance des arts (1952), 0010-5988";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Images de France, 0153-8101. Plaisir de France (1945), 0153-8055. Pour donner :	Connaissance des arts, Plaisir de France, 0395-5907. ";"";"";"";"";"";"";"";"CA. Connaissance des arts";"CA. Connaiss. arts";"";"";"1972- 1976, publie en francais, en France";"Mensuel";="709 * 780 * 730";"ISSN";"no. 239 (1972) - no. 287  (1976)";"";"";"PCMP";""
="039287459";"Cahiers du Musee national d'art moderne";"Paris : Centre Georges-Pompidou, 1979-";="0181-1525";"";"Catalogus - Institut des hautes etudes en arts plastiques, 0997-1319. Les Cahiers du Musee national d'art moderne. Hors-serie-archives, 1285-3690. Questions d'histoire de l'art. L'age d'or. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cahiers du Musee national d'art moderne";"";"";"";"";"Cahiers du Musee national d'art moderne";"Cah. Mus. natl. art mod.";"";"";"1979- 9999, publie en francais, en France";"Trimestriel";="709.04";"Abes * ISSN";"no. 1 (1979) - no. 28  (1989) ; no. 30 (1989) - no. 36  (1991) ; no. 38 (1991)-....";"";"";"";""
="040581497";"Cahiers du Musee national d'art moderne. Hors-serie-archives";"Paris : Centre Georges Pompidou, [199.]-";="1285-3690";"";"";"Cahiers du Musee national d'art moderne, 0181-1525. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Les Cahiers du Musee national d'art moderne. Hors-serie-archives";"";"";"";"199 - 9999, publie en francais, en France";"Inconnue";="709.04 * 909";"Abes * FR-751131015 * ISSN France";"(1997) ; (1999)";"";"";"";""
="039222233";"Cimaise : revue de l'art actuel / directeur J. R. Arnaud ; redacteur en chef R. V. Gindertael";"Paris : Cimaise, 1953-2009Paris : JGO, 2002-";="0009-6830";"";"";"";"";"Cimaise (1952)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cimaise(Paris)";"Cimaise(Paris)";"";"";"1953- 2009, publie en francais, en France";"Bimestriel";="705";"Abes * ISSN";"no. 47 (1960) ; no. 91 (1969) - no. 92  (1969) ; no. 115 (1974)no. 118  - (1974) ; no. 122 (1975) - no. 127  (1976) ; no. 129 (1977) - no. 137  (1978) ; no. 142 (1979) - no. 149  (1980) ; no. 151 (1981) ; no. 153 (1981) - no. 154  (1981) ; no. 159 (1982) - no. 168  (1984) ; no. 171 (1984) - no. 185 (1986) ; no. 188 (1987) - no. 201  (1989) ; no. 203 (1989) - no. 255  (1998) ; no. 257 (1999) - no. 269  (2002)";"";"";"";""
="039959481";"Coloquio Artes";"Lisboa : Fundacao Calouste Gulbenkian, 1971-1996";="0870-3841";"";"";"";"";"";"Coloquio (Lisboa), 0871-5807";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Coloquio. Artes";"Coloq., Artes";"";"";"1971- 1996, publie en portugais, au Portugal";"Bimestriel";="700 * 709.04";"Abes * ISSN";"no. 31 (1977) ; no. 42 (1979) ; no. 49 (1981) ; no. 55 (1982) ; no. 67 (1985) ; no. 70 (1986) - no. 78  (1988) ; no. 82 (1989) - no. 84  (1990) ; no. 86 (1990) - no. 100  (1994)";"";"";"";""
="037437607";"Connaissance des arts";"Paris : Connaissance des arts, 1952-1971";="0010-5988";"";"Grand Louvre. ";"";"";"";"";"";"";"";"";"";"";"CA. Connaissance des arts, 0395-5893";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Connaissance des arts(1952)";"Connaiss. arts(1952)";"";"";"1952- 1971, publie en francais, en France";"Mensuel";="709 * 750";"Abes * ISSN";"no. 83 (1959) - no. 238  (1971) [Lacunes 10%]";"";"";"PCMP";""
="03794357X";"Connaissance des arts. Plaisir de France";"Paris : Societe francaise de promotion artistique, 1976-1979";="0395-5907";"";"";"";"";"";"";"";"";"";"";"Images de France, 0153-8101. CA. Connaissance des arts, 0395-5893. Plaisir de France (1945), 0153-8055. ";"";"Connaissance des arts (1980), 0293-9274";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Connaissance des arts, Plaisir de France";"Connaiss. arts Plaisir Fr.";"";"";"1976- 1979, publie en francais, en France";"Mensuel";="709 * 750";"Abes * ISSN";"no. 289 (1976) - no. 334  (1979)";"";"";"PCMP";""
="040083136";"Connaissance des arts. Numero hors-serie";"Paris : Societe francaise de promotion artistique, 1988-Paris : Connaissance des arts";="1242-9198";"";"La bibliotheque de l'Institut national d'histoire de l'art. Chefs-d'oeuvre de la galerie de mineralogie. L'Hotel de Behague. ";"Connaissance des arts (1980), 0293-9274. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Connaissance des arts. Hors-serie";"";"";"";"1988- 9999, publie en francais, en France";"Inconnue";="709.04 * 709.44 * 700";"Abes * FR-751131015 * ISSN France";"no. 55 (1994) ; no. 104 (1997) ; (2000)";"";"";"";""
="001705792";"Connaissance des arts";"Paris : Societe francaise de promotion artistique, 1980-";="0293-9274";"";"Connaissance des arts. Hors-serie, 1242-9198. Connaissance des arts. Special jardin, 1774-8968. ";"";"Connaissance des arts. Special photo, 1773-8652. Connaissance des arts. Numero hors-serie. Le Guide, 1625-0117. Connaissance des arts. Deco, 2101-2083. ";"Connaissance des arts, Plaisir de France, 0395-5907";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Connaissance des arts (En ligne), 2270-5198Connaissancedesarts.com, 2102-5371";"";"";"";"";"Connaissance des arts(1980)";"Connaiss. arts(1980)";"";"";"1980- 9999, publie en francais, en France";"Mensuel";="705 * 709 * 750";"Abes * BN * ISSN";"no. 336 (1980)-....";"";"";"PCMP";""
="040513890";"Crash";"Paris : Crash production, 1998-";="1276-4108";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Crash(Paris)";"";"";"";"1998- 9999, publie en francais, en France";"Bimestriel";="709.04 * 709.44";"Abes * ISSN";"no. 1 (1998) - no. 10  (1999) ; no. 13 (2000) - no. 15  (2000) ; no. 20 (2002) - no. 23  (2002) ; no. 25 (2003)-....";"";"";"";""
="040145212";"Critique d'art : bulletin critique et bibliographique / Archives de la critique d'art";"Chateaugiron : Archives de la critique d'art, 1993-";="1246-8258";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Critique d'art, 2265-9404";"";"";"";"";"Critique d'art(Chateaugiron)";"";"";"";"1993- 9999, publie en francais, en France";"Semestriel";="701.18 * 709.44";"Abes * ISSN";"no. 1 (1993) ; no. 3 (1994) - no. 4  (1994) ; no. 6 (1995) ; no. 8 (1996) - no. 12  (1998) ; no. 14 (2000) - no. 15  (2000) ; no. 17 (2001) ; no. 19 (2002)-....";"";"";"";""
="039198618";"Croquis : de arquitectura y diseno";"El Escorial (Madrid) : El Croquis, 1982-";="0212-5633";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"El Croquis (Internet), 2174-0356";"";"";"";"";"El Croquis";"Croquis";"";"";"1982- 9999, publie en espagnol, en Espagne";"Bimestriel";="720";"Abes * ISSN";"no. 42 (1990) ; no. 74 (1995) ; no. 78 (1996) - no. 80  (1996) ; no. 83 (1997)-....";"";"";"";""
="038717808";"Dada";"Lyon : Gemial, 1992-Paris : Mango presse, 1998-2008Paris : Ed. Arola, 2009-";="1241-0020";"";"Dada. Hors-serie, 1261-4858. Buren. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dada(Lyon)";"";"";"";"1992- 9999, publie en francais, en France";"Mensuel";="700 * 759.066 * 704.083";"Abes * FR-751131015 * ISSN France";"(1995)-....";"";"";"";""
="039222705";"Documentaliste : revue d'information et de techniques documentaires / Association francaise des documentalistes et des bibliothecaires specialises";"Paris : Association francaise des documentalistes et des bibliothecaires specialises, 1964-2014";="0012-4508";"";"";"";"";"";"";"";"";"Sciences de l'information, 0395-3858";"";"";"";"I2D, 2428-2111";"";"";"";"";"";"";"";"";"";"Documentaliste-sciences de l'information, 1777-5868";"";"";"";"";"Documentaliste(Paris)";"Documentaliste(Paris)";"";"";"1964- 2014, publie en francais, en France";"Trimestriel";="020.5";"ISSN";"no. 1 (1998)-....";"";"";"";""
="040517640";"Documents sur l'art";"[Dijon] : Les Presses du reel, 1992-2000";="1276-8227";"";"";"";"Documents sur l'art (Collection), 1290-7154. ";"Documents sur l'art contemporain (Paris), 1167-1645";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Documents sur l'art";"Doc. art";"";"";"1992- 2000, publie en plusieurs langues, en France";"Inconnue";="705 * 709.440 904";"Abes * ISSN";"no. 7 (1995) - no. 12  (2000)";"";"";"";""
="038691051";"Documents sur l'art contemporain";"Paris : Paris art conseil editions, 1992-1994";="1167-1645";"";"";"";"";"";"";"";"";"";"";"";"";"Documents sur l'art, 1276-8227";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Documents sur l'art contemporain(Paris)";"Doc. art contemp.(Paris)";"";"";"1992- 1994, publie en francais, en France";"Trimestriel";="705 * 709.04 * 709.440 904 * 730";"Abes * ISSN";"no. 3 (1993) - no. 5  (1994)";"";"";"";""
="037808036";"Eighty : Les peintres en France dans les annees 80 / dir. publ. Jean-Luc Flohic";"Paris : Eighty, 1983-1990";="0294-1880";"";"";"";"";"";"";"";"";"";"";"";"";"Ninety (Paris), 1155-1240";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Eighty(Paris)";"Eighty(Paris)";"";"";"1983- 1990, publie en francais, en France";"Bimestriel";="";"Abes * ISSN";"no. 2 (1984) ; no. 9 (1985) ; no. 15 (1986) ; no. 28 (1989) ; no. 33 (1990)";"";"";"";""
="097894265";"Etapes : graphisme design image creation";"Paris : Pyramyd NTCV, 2001-Paris : Pyramyd NTCV, 2001-2023Paris : PLESS, 2024-";="1774-5160";"";"";"";"";"Etapes graphiques (Paris), 1254-7298";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Etapes (International ed), 1767-4751. ";"";"";"";"";"";"Etapes(Ed. francaise)";"Etapes(Ed. fr.)";"";"";"2001- 9999, publie en francais, en France";"Mensuel";="760 * 659 * 740 * 760.944 0905";"FR-751131015 * ISSN France";"no. 75 (2001)-....";"";"";"";""
="040267970";"Etapes graphiques / Pyramyd NTCV";"Paris : Pyramyd NTCV, 1994-2001";="1254-7298";"";"";"";"";"";"";"";"";"";"";"";"";"Etapes (Ed. francaise), 1774-5160";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Etapes graphiques(Paris)";"Etapes graph.(Paris)";"";"";"1994- 2001, publie en francais, en France";"Bimestriel";="740 * 760 * 659";"ISSN";"no. 63 (2000) - no. 74  (2001)";"";"";"";""
="040478238";"Etudes photographiques : revue semestrielle / [Societe francaise de photographie]";"Paris : Societe francaise de photographie, 1996-2017";="1270-9050";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Etudes photographiques (En ligne), 1777-5302";"";"";"";"";"Etudes photographiques";"Etud. photogr.";"";"";"1996- 2017, publie en francais, en France";"Semestriel";="770 * 778";"Abes * BNF * ISSN France";"no. 3 (1997) - no. 4  (1998) ; no. 8 (2000) - no. 13  (2003) ; no. 14 (2004)-....";"";"";"";""
="088800253";"Exporre : trimestrale di cultura intorno all'Exhibition design / dir. responsabile Mario Mastropietro";"Milano : Lybra Immagine, 1989-";="1827-3459";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Exporre(Milano)";"Exporre(Milano)";"";"";"1989- 9999, publie en italien, en Italie";"Trimestriel";="745.2/05 * 705 * 745.4";"Abes * ISSN";"no. 3 (1990) - no. 4  (1990) ; no. 11 (1992) - no. 12  (1992) ; no. 14 (1992) ; no. 17 (1993) ; no. 20 (1994) - no. 21  (1994) ; no. 23 (1995) - no. 39  (2000) ; no. 41 (2000) - no. 51  (2004)";"";"";"";""
="039597474";"Flash art : the largest European art magazine / ed. Helena Kontova, Giancarlo Politi";"Milano : G. Politi, 1979-";="0394-1493";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Flash art (Budapest), 2063-2320";"Flash art (Ed. italiana), 0015-3524";"";"";"Flash art(International)";"Flash art(Int.)";"";"Flash art. International";"1979- 9999, publie en anglais, en Italie";"Sans periodicite";="700";"Abes * ISSN";"no. 46 (1974) - no. 51  (1974) ; no. 58 (1975) - no. 59  (1975) ; no. 82 (1978) - no. 83  (1978) ; no. 90 (1979) - no. 91  (1979) ; no. 100 (1980) - no. 101  (1981) ; no. 104 (1981) ; no. 109 (1982) ; no. 111 (1982) - no. 113  (1983) ; no. 127 (1986) ; no. 131 (1986) - no. 135  (1987) ; no. 153 (1990) ; no. 157 (1991) - no. 164  (1992) ; no. 169 (1993) - no. 173  (1993) ; no. 176 (1994) - no. 205  (1999) ; no. 207 (1999) - no. 211  (2000) ; no. 213 (2000)-....";"";"";"";""
="040096440";"Frieze";"[London] : Frieze Publishing LtdLondon : Frieze Magazine, 1991-London : Durian";="0962-0672";"";"";"";"Frieze (Berlin), 2193-5386. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Frieze (Online), 2978-0381";"";"";"";"";"Frieze(London)";"Frieze(Lond.)";"";"";"1991- 9999, publie en anglais, au Royaume-Uni";"Mensuel";="709.049";"Abes * ISSN";"no. 9 (1993) - no. 24  (1995) ; no. 26 (1996) - no. 32  (1997) ; no. 36 (1997) ; no. 38 (1998) - no. 63  (2001) ; no. 65 (2002)-....";"";"";"";""
="058373039";"From";"Rotterdam : Witte de With, 1999-2001";="1567-4495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"From(Rotterdam)";"";"";"";"1999- 2001, publie en neerlandais, aux Pays-Bas";"Sans periodicite";="709.04 * 709.492";"Abes * ISSN";"no. 1 (1999) - no. 5  (2001)";"";"";"";""
